station,lon,lat,dif_prct,z50_tg,z50_gos
St Johns,-52.717,47.567,12.8078113639893,0.969926195163311,0.845699877716876
St Marys,-6.317139,49.917833,-6.92319632526041,0.844889602664183,0.903382968588336
Stockholm,18.083,59.317,14.2301686348423,0.881854910769768,0.756365469852592
Stornoway,-6.388889,58.207722,10.6834509970209,1.26505616900468,1.12990451310427
Subic Bay,120.252,14.765,29.576397480328,0.363907985807525,0.256277113462436
Suva,178.427,-18.132,38.4550870488288,0.335080373044945,0.206224923906971
Syowa,39.6,-69,-29.9391754071902,0.647493639320457,0.841347895747009
Talcahuano,-73.1061111111111,-36.7008333333333,43.4505456430113,0.729701847013963,0.412642412919264
Tanjong Pagar,103.853,1.262,43.6056003439957,1.00009458586307,0.563997337689681
Tarawa,172.93,1.362,67.6444256213571,0.31504222725689,0.101933722164236
Tenerife,-16.24,28.48,8.34395179387795,0.287526981633525,0.263535868891632
Thevenard,133.64,-32.15,-24.457279626794,1.76832696651025,2.20081163742567
Thule,-68,76,11.9042474360337,0.741833800690715,0.653524069492359
Tofino,-125.917,49.15,29.4407320773712,1.26245299091902,0.890777588259791
Townsville,146.833,-19.25,4.94095645862018,0.584542237362199,0.555660259931889
Toyama,137.217,36.767,28.6747043361328,0.50088694283351,0.357259092917706
Tregde,7.567,58,6.20132366370646,1.10834895774936,1.03961665155601
Trieste,13.75793889,45.64939167,-3.47710270822481,1.1608871234621,1.20125236107143
Valencia,-0.31,39.44,18.7082972359397,0.510273061055134,0.414809660078011
Valparaiso,-71.6277777777778,-33.0277777777778,59.9179739075745,0.445487130402176,0.178560267846198
Vardo,31.1,70.333,15.1673142030496,0.955114846552139,0.810249576775601
Venezia,12.42652778,45.41821944,15.2072527994979,1.4067509053614,1.19282273892386
Vigo,-8.73,42.24,31.2158877014224,0.886615887511564,0.609850867722984
Viker,10.949769,59.036046,10.8533234077218,1.41236062739708,1.25907256082234
Villagarcia,-8.77,42.6,39.6187053678325,1.04615928764953,0.631684521797446
Virginia Key,-80.162,25.732,59.5713992617379,0.776651019222256,0.313989139691009
Vung Tau,107.072,10.34,39.6754751614433,0.774058279376235,0.466946979007221
Wakkanai,141.683,45.4,16.9448234051487,0.694084242394811,0.576472893238046
Wellington,174.783,-41.283,3.05177126118134,0.542710106754789,0.526147835685319
Whitby,-0.614694,54.49,12.9674149711924,1.95952179993156,1.70542247668346
Wick,-3.086389,58.440972,11.036664748236,1.48480425746908,1.32093138940468
Yakutat,-139.735,59.547,18.139724233253,0.94018013288163,0.769634049481071
Zanzibar,39.19,-6.155,21.5134811115678,0.2861454706331,0.224585618856842
