lon,lat,time,Ampl
82.75,17.2340850830078,7,0.148275828519789
83,-66.6126937866211,8,0.318675596103008
83,17.2340850830078,7,0.165328565428179
83.25,-66.6126937866211,8,0.314134423434043
83.25,17.4727058410645,7,0.178616785505627
83.5,-66.6126937866211,8,0.312064602141108
83.5,-66.5132598876953,8,0.309267828389642
83.5,-66.4134292602539,8,0.281371346934875
83.5,17.7110137939453,7,0.186552526740313
83.75,-66.3131942749023,8,0.299039277294561
83.75,17.9490070343018,7,0.204922024132276
84,-66.3131942749023,8,0.211088867669297
84,18.1866779327393,7,0.220435157800443
84.25,-66.3131942749023,8,0.294696384282279
84.25,18.4240283966064,7,0.237953279088159
84.5,-66.3131942749023,8,0.205710730011157
84.5,18.6610488891602,7,0.245287489840416
84.75,-66.3131942749023,8,0.279397347719188
84.75,18.897741317749,7,0.253085109819313
85,-66.4134292602539,8,0.282407565653525
85,19.1340980529785,7,0.251129804273476
85.25,-66.4134292602539,8,0.278862752150798
85.25,19.3701171875,7,0.255869690545644
85.5,-66.4134292602539,8,0.296932418293965
85.5,-66.3131942749023,8,0.289389073921462
85.5,19.6057929992676,7,0.268559748164338
85.75,-66.2125549316406,8,0.276024840864798
85.75,19.6057929992676,7,0.266734229742838
86,-66.2125549316406,8,0.280120771586495
86,19.6057929992676,7,0.257504804278857
86.25,-66.2125549316406,8,0.278070479955562
86.25,19.8411273956299,7,0.293816676947189
86.5,-66.1115188598633,8,0.27126478170399
86.5,20.0761108398438,7,0.369212522766057
86.75,-66.0100784301758,8,0.232333830107708
86.75,20.3107452392578,8,0.421545379920919
87,-66.0100784301758,8,0.218360580220895
87,20.5450210571289,8,0.486651269955467
87,20.7789249420166,8,0.656858637742513
87,21.0124206542969,8,0.67735570739485
87,21.2454643249512,8,0.70776176035339
87.25,-66.0100784301758,9,0.208713066983471
87.25,21.4780197143555,8,0.656310560257227
87.5,-66.0100784301758,8,0.210956692178101
87.5,21.4780197143555,7,0.586474395330382
87.75,-66.0100784301758,8,0.229013784814447
87.75,21.7100601196289,7,0.537633597988212
88,-66.0100784301758,8,0.254131991930467
88,21.7100620269775,7,0.520772367367389
88.25,-66.0100784301758,8,0.272725849525275
88.25,21.4780235290527,10,0.395346560742002
88.5,-66.1115188598633,8,0.326931420228194
88.5,21.4780235290527,7,0.528632263154861
88.75,-66.4134292602539,8,0.368685469043541
88.75,-66.3131942749023,8,0.368367947638479
88.75,-66.2125549316406,8,0.365369734284971
88.75,21.4780254364014,7,0.490943460430259
89,-66.6126937866211,7,0.350099149662997
89,-66.5132598876953,8,0.358999177064601
89,21.4780254364014,7,0.455936022598802
89.25,-66.6126937866211,8,0.353925577437717
89.25,21.47802734375,7,0.413155452084326
89.5,-66.6126937866211,8,0.345422122887807
89.5,21.7100734710693,7,0.510955261753942
89.75,-66.6126937866211,8,0.336667538798194
89.75,21.710075378418,7,0.513331310221819
90,-66.6126937866211,8,0.329655449854427
90,21.7100772857666,7,0.532908507163093
90.25,-66.6126937866211,8,0.323948775103537
90.25,21.7100791931152,7,0.568788647286603
90.5,-66.6126937866211,8,0.323648359182815
90.4999923706055,21.9415969848633,7,0.889194376465934
90.75,-66.6126937866211,8,0.328541439359599
90.7499923706055,22.1725654602051,7,1.0843415332387
90.7499847412109,22.4029541015625,7,1.36659143596693
91,-66.5132598876953,8,0.312056637493104
90.9999847412109,22.402961730957,7,1.38739745759612
91.25,-66.5132598876953,8,0.320560631647374
91.2499694824219,22.6327724456787,7,1.43876859632347
91.5,-66.5132598876953,8,0.324138270585256
91.4999847412109,22.4029769897461,7,1.32245343373979
91.4999694824219,22.6327819824219,7,1.372432552877
91.75,-66.5132598876953,8,0.319040381970704
91.75,21.4780387878418,7,0.571524020344744
91.75,21.7100925445557,7,0.738659058800172
91.7499923706055,21.9416160583496,7,0.868268397664071
91.7499923706055,22.17258644104,7,1.02823971745316
92,-66.5132598876953,7,0.298035941157908
92,21.0124244689941,7,0.395563476623047
92,21.2454738616943,7,0.447501522584476
92.25,-66.5132598876953,8,0.319548882443876
92.25,10.687479019165,7,0.0678319350676343
92.25,20.7789249420166,7,0.391836125015408
92.5,-66.5132598876953,8,0.324025203379016
92.5,10.4417161941528,7,0.0550028682013338
92.5,10.9330415725708,7,0.0665133180620023
92.5,11.6684951782227,7,0.0692465229608525
92.5,11.9132204055786,7,0.0778653585089906
92.5,12.1577243804932,7,0.079149676130467
92.5,12.4020042419434,7,0.0825101051599176
92.5,12.6460552215576,7,0.0853921265545231
92.5,12.8898735046387,7,0.0908594838386368
92.5,20.5450210571289,7,0.391853917416597
92.75,-66.5132598876953,8,0.320509149122518
92.75,10.687479019165,7,0.066346405949437
92.75,11.4235544204712,7,0.0647359504871281
92.75,13.1334543228149,7,0.118951663465733
92.75,13.3767938613892,7,0.11250005860458
92.75,20.3107452392578,7,0.36885667864913
93,-66.5132598876953,8,0.315498184976231
93,11.6684951782227,7,0.0729878474873114
93,11.9132204055786,7,0.0692776650822577
93,12.1577243804932,7,0.0660029248006749
93,12.4020042419434,7,0.076074653701289
93,12.6460552215576,7,0.0843535210640394
93,13.6198883056641,7,0.0913478775778725
93,20.0761108398438,7,0.333368961758424
93.25,-66.5132598876953,8,0.312292318115618
93.25,7.97413206100464,7,0.0433003240893749
93.25,12.8898735046387,7,0.0845664038882025
93.25,13.1334543228149,7,0.087271292985289
93.25,13.3767938613892,7,0.0905528556586723
93.25,19.8411273956299,7,0.348187015647762
93.5,-66.5132598876953,8,0.311370419468214
93.5,6.98265075683594,7,0.0396117957959052
93.5,7.2307300567627,7,0.0408762506923244
93.5,7.72647523880005,7,0.0415123061443802
93.5,8.22163867950439,7,0.0443276850874115
93.5,19.1340980529785,7,0.220628809342699
93.5,19.3701171875,7,0.255003557416668
93.5,19.6057929992676,7,0.207358921573374
93.75,-66.5132598876953,8,0.310993479806285
93.75,6.73443984985352,7,0.0380111216279122
93.75,7.47867298126221,7,0.040733373420022
93.75,7.97413206100464,7,0.0419362688740331
93.75,18.897741317749,7,0.249190169966949
94,-66.6126937866211,8,0.318472434541639
94,6.98265075683594,7,0.0378771854955319
94,7.2307300567627,7,0.0394352358421952
94,16.0364284515381,7,0.135153403245651
94,16.276554107666,7,0.132948509902644
94,18.6610488891602,7,0.272857991292708
