station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
Nome,-165.43,64.5,0.195113050053388,0.146570711332251,NaN,NaN,0.104385113233339,0.0847454294232049,NaN,NaN
North Shields,-1.4333301,55,0.224507026371902,0.200455376988437,NaN,NaN,0.0805137481844312,0.0707483557903447,NaN,NaN
Noumea,166.437,-22.25,0.0418956973127814,0.0199394335107345,0.0131355088478216,0.00933639243141054,0.0147542908305787,0.00756473986134355,NaN,NaN
Nuku alofa,-175.167,-21.133,0.0448710380131873,0.0186663824079547,NaN,0.00605684665221103,0.015820267961479,0.006361633064882,NaN,NaN
Nylesund,11.933,78.933,0.115154393592827,0.114219428364606,0.0315232434015299,0.0153015959940981,0.0313716992090276,0.032137692739797,NaN,NaN
Ofunato,141.717,39.067,0.0350324440624759,0.0212259488793175,0.0262623396849043,0.0153642659020599,0.0202711549907375,0.0111927854242275,NaN,NaN
Padang,100.367,-1,NaN,0.0132981585056315,0.0699660691407549,0.00182831542609584,NaN,NaN,NaN,NaN
Papeete,-149.567,-17.525,0.0416282609521428,0.00861365356083004,0.0270521363232296,0.00350251870094936,0.0121329864947506,0.00205494444547778,NaN,NaN
Pensacola,-87.213,30.403,NaN,0.0526044081796089,0.0583769631682259,0.0290386757664412,0.0203818375419318,0.0132302497658812,NaN,NaN
Ponta Delgada,-25.673,37.735,0.0294718123277429,0.0293220157080051,0.0269409084429609,0.0290066712438104,0.0214193499762831,0.0252190676938165,NaN,NaN
Port Bloc,-1.061555,45.56848,0.156600231633484,0.0889426108126634,0.0328612474399329,0.030207570619012,0.0566919163081616,0.0590645282743882,NaN,NaN
Port Elizabeth,25.63,-33.96,0.0553780573128645,0.0295551964814988,NaN,0.0110118761990952,0.0229336604693996,0.0106828498260764,NaN,NaN
Port Hedland,118.567,-20.317,0.118001201953769,0.0404939579673425,0.0427781553088314,0.021691922000655,0.0405024927123122,0.0274811254885767,NaN,NaN
Port Louis,57.495,-20.155,0.0774499926607214,0.0305466925420233,NaN,0.0035735154590403,0.015297229977862,0.00691908621020146,NaN,NaN
Port Stanley,-57.933,-51.75,NaN,0.0183950101838134,0.0251729555400434,0.0136543902608831,NaN,NaN,NaN,NaN
Port Vila,168.3,-17.767,0.052982355888069,0.0184845334943163,0.0173779187483715,0.00841211898938668,0.00945015414012914,0.00892666038709326,NaN,NaN
Port aux basques,-59.133,47.567,0.161180908365309,0.135162691694138,NaN,NaN,0.0326198627228534,0.0290990315347367,NaN,NaN
Portland,141.613,-38.343,0.122179281375882,0.0939492837441563,0.0363402084802495,0.0209628679080893,0.0129237543102188,0.0075448319459084,NaN,NaN
Prigi,111.733,-8.283,0.140672442880211,0.0170740008390564,0.099442692015575,0.00501072835982954,NaN,NaN,NaN,NaN
Prince Rupert,-130.333,54.317,0.21892733594214,0.195366661847435,0.0412255080248334,0.033099310857039,0.0305888657002021,0.0278882248458754,NaN,NaN
Prudhoe Bay,-148.527,70.4,0.163792156648128,0.0604658334960596,0.0832532496232724,0.0459333240817601,0.0382528643539343,0.0254924025917841,NaN,NaN
Qaqortoq,-46.033,60.717,0.222279984467965,0.16151935927863,NaN,0.0173695089833449,0.0397550894801508,0.0210133470549482,NaN,NaN
Ravenna,12.28293611,44.492075,0.112688347026681,0.110053824633297,0.0233308157103561,NaN,0.0563948058797129,0.0560367727710028,NaN,NaN
Reunion,55.293,-20.923,0.0637569349070358,0.0264569593703623,0.0119253085815756,0.00349709782868595,0.0143873373617254,0.00703348754158988,NaN,NaN
Reykjavik,-21.93989,64.150581,0.143836482744278,0.13176926637391,0.0273069721574143,NaN,0.0347080296705834,0.0231781133444851,NaN,NaN
Richards Bay,32.083,-28.8,NaN,0.00900206371888691,NaN,NaN,NaN,0.00926599312631949,NaN,NaN
Rorvik,11.25,64.867,0.224129493619033,0.187167138699128,NaN,NaN,0.0545062659669556,0.0613133736252386,NaN,NaN
Sabang,95.333,5.833,0.0387028916246332,0.0161298739520958,0.0440741093868498,NaN,NaN,NaN,NaN,NaN
Saipan,145.742,15.277,0.0526129585936583,0.0170058614389422,0.0206233791061043,0.00305680429921511,0.0182238920962236,0.0069570321265393,NaN,NaN
Salalah,54.007,16.935,0.0615218999255712,0.0630248785197758,0.0664511227028122,0.00521631426320347,NaN,0.00238344487370696,NaN,NaN
Saldahna Bay,17.95,-33.017,0.0328251282570366,0.00963790682530704,NaN,0.00927577304357971,0.0193775236954287,0.0114791469334093,NaN,NaN
Salvador,-38.517,-12.967,0.0399998172605751,0.0246546006601283,0.0419042343102759,0.0126248786347117,NaN,0.00206363550783563,NaN,NaN
San Antonio,-71.6180555555555,-33.5816666666667,0.0129705358670797,0.0124298852833524,0.0197373315698779,0.00545363591833925,NaN,0.00651351106406522,NaN,NaN
San Diego,-117.173,32.715,0.022296316338447,0.0255789885407301,0.0319458656834793,0.0081037347511996,0.0127113807682171,0.0078374710943837,NaN,NaN
