lon,lat,phi0
80.5,13.1334543228149,0.03816638
80.5,13.3767938613892,0.03786706
80.5,15.7960119247437,0.00517184
80.75,-67.8696594238281,-0.11930686
80.75,5.74037265777588,-0.15823575
80.75,9.45676803588867,-0.07665657
80.75,15.7960119247437,0.00121479
81,-67.7752838134766,-0.1197023
81,5.98906373977661,-0.15926226
81,8.96321582794189,-0.09861026
81,9.21007823944092,-0.08645224
81,15.5553112030029,-0.00799224
81.25,-67.7752838134766,-0.12182633
81.25,-67.680534362793,-0.12174336
81.25,5.98906373977661,-0.17157692
81.25,8.71618556976318,-0.10712199
81.25,15.7960119247437,-0.03071145
81.25,16.0364284515381,-0.01239788
81.5,-67.5854034423828,-0.1242424
81.5,-67.4898834228516,-0.1259306
81.5,-66.8103713989258,-0.14094373
81.5,-66.7117309570312,-0.14036572
81.5,-66.6126937866211,-0.13760139
81.5,-66.5132598876953,-0.13916959
81.5,-66.4134292602539,-0.13725419
81.5,-66.3131942749023,-0.12620043
81.5,-66.2125549316406,-0.13384045
81.5,6.23764181137085,-0.19334696
81.5,8.22163867950439,-0.11809317
81.5,8.46899127960205,-0.10634231
81.5,16.276554107666,-0.01576854
81.75,-67.3939743041992,-0.12459454
81.75,-67.2976837158203,-0.12426954
81.75,-66.9086227416992,-0.12832721
81.75,-66.1115188598633,-0.14377187
81.75,6.48610210418701,-0.18109116
81.75,7.72647523880005,-0.13731691
81.75,7.97413206100464,-0.12410808
81.75,16.276554107666,-0.01303084
82,-67.2010040283203,-0.1254965
82,-66.9086227416992,-0.12617254
82,-66.1115188598633,-0.14077525
82,6.73443984985352,-0.15631075
82,6.98265075683594,-0.14991148
82,7.2307300567627,-0.14278115
82,7.47867298126221,-0.13784161
82,16.276554107666,-0.02089967
82.25,-67.2010040283203,-0.12890103
82.25,-67.1039352416992,-0.1285799
82.25,-67.006477355957,-0.12814571
82.25,-66.9086227416992,-0.12878483
82.25,-66.1115188598633,-0.1386134
82.25,16.5163860321045,0.01171447
82.5,-66.4134292602539,-0.13259266
82.5,-66.3131942749023,-0.13453638
82.5,-66.2125549316406,-0.13762583
82.5,16.7559223175049,-0.0469082
82.5,16.9951572418213,-0.01453477
82.75,-66.5132598876953,-0.13187629
82.75,17.2340850830078,-0.00406029
83,-66.6126937866211,-0.12825308
83,17.2340850830078,0.01270223
83.25,-66.6126937866211,-0.12786252
83.25,17.4727058410645,0.02631746
83.5,-66.6126937866211,-0.12651276
83.5,-66.5132598876953,-0.1283859
83.5,-66.4134292602539,-0.12356248
83.5,17.7110137939453,0.02931124
83.75,-66.3131942749023,-0.13700405
83.75,17.9490070343018,0.01883124
84,-66.3131942749023,-0.11433597
84,18.1866779327393,0.01275821
84.25,-66.3131942749023,-0.13212288
84.25,18.4240283966064,0.02109014
84.5,-66.3131942749023,-0.10841293
84.5,18.6610488891602,0.04587739
84.75,-66.3131942749023,-0.13094398
84.75,18.897741317749,0.06685737
85,-66.4134292602539,-0.13497999
85,19.1340980529785,0.06123912
85.25,-66.4134292602539,-0.13547388
85.25,19.3701171875,0.05316859
85.5,-66.4134292602539,-0.13662166
85.5,-66.3131942749023,-0.13505171
85.5,19.6057929992676,0.05527914
85.75,-66.2125549316406,-0.14399107
85.75,19.6057929992676,0.03940742
86,-66.2125549316406,-0.14651677
