station,lon,lat
Point_640,-68.5158615112305,80.3178558349609
Point_641,-87.5324859619141,82.2210083007812
Point_642,-31.1461791992188,-75.0937271118164
Point_643,-31.2264804840088,-72.869255065918
Point_644,-31.2480182647705,-70.3492202758789
Point_645,-31.25,-67.4875564575195
Point_646,-31.25,-64.2225189208984
Point_647,-31.25,-60.5178337097168
Point_648,-31.25,-56.3349456787109
Point_649,-31.25,-51.6374168395996
Point_650,-31.25,-46.3974609375
Point_651,-31.25,-40.6013488769531
Point_652,-31.25,-34.255500793457
Point_653,-31.25,-27.392578125
Point_654,-31.25,-20.0761108398438
Point_655,-31.25,-12.4020042419434
Point_656,-31.25,-4.49538087844849
Point_657,-31.25,3.49782538414001
Point_658,-31.25,11.4235544204712
Point_659,-31.25,19.1340980529785
Point_660,-31.2501754760742,26.5046901702881
Point_661,-31.2538051605225,33.4603424072266
Point_662,-31.2712669372559,39.9651107788086
Point_663,-31.3213577270508,46.0118751525879
Point_664,-31.4339218139648,51.6203155517578
Point_665,-31.6557559967041,56.8331298828125
Point_666,-32.0628356933594,61.708869934082
Point_667,-32.7862510681152,66.3113403320312
Point_668,-72.5514831542969,85.1745910644531
Point_669,-23.2131023406982,-72.8529891967773
Point_670,-23.2468643188477,-70.3462295532227
Point_671,-23.25,-67.4875564575195
Point_672,-23.25,-64.2225189208984
Point_673,-23.25,-60.5178337097168
Point_674,-23.25,-56.3349456787109
Point_675,-23.25,-51.6374168395996
Point_676,-23.25,-46.3974609375
Point_677,-23.25,-40.6013488769531
Point_678,-23.25,-34.255500793457
Point_679,-23.25,-27.392578125
Point_680,-23.25,-20.0761108398438
Point_681,-23.25,-12.4020042419434
Point_682,-23.25,-4.49538087844849
Point_683,-23.25,3.49782538414001
Point_684,-23.25,11.4235544204712
Point_685,-23.25,19.1340980529785
Point_686,-23.2496471405029,26.5043449401855
Point_687,-23.2428359985352,33.457706451416
Point_688,-23.2137260437012,39.959114074707
Point_689,-23.1440048217773,46.0058212280273
Point_690,-23.0209560394287,51.6231460571289
Point_691,-22.8412590026855,56.858715057373
Point_692,-22.611364364624,61.7751350402832
Point_693,-22.3482570648193,66.4407730102539
Point_694,-22.8058300018311,83.4249649047852
Point_695,-27.5451030731201,87.1206893920898
Point_696,-15.2460784912109,-70.3420944213867
Point_697,-15.2499990463257,-67.487548828125
Point_698,-15.25,-64.2225189208984
Point_699,-15.25,-60.5178337097168
Point_700,-15.25,-56.3349456787109
Point_701,-15.25,-51.6374168395996
Point_702,-15.25,-46.3974609375
Point_703,-15.25,-40.6013488769531
Point_704,-15.25,-34.255500793457
Point_705,-15.25,-27.392578125
Point_706,-15.25,-20.0761108398438
Point_707,-15.25,-12.4020042419434
Point_708,-15.25,-4.49538087844849
Point_709,-15.25,3.49782538414001
Point_710,-15.2491025924683,26.5017719268799
Point_711,-15.2315607070923,33.435604095459
Point_712,-15.1549005508423,39.8940391540527
Point_713,-14.9635286331177,45.881706237793
Point_714,-14.6019773483276,51.436149597168
Point_715,-14.0159454345703,56.6140899658203
Point_716,-13.1401519775391,61.481632232666
Point_717,-11.8725605010986,66.1056060791016
Point_718,-10.0246343612671,70.5421676635742
Point_719,-7.20828247070312,74.8201141357422
Point_720,-2.51932716369629,78.9164505004883
Point_721,6.57592725753784,82.7124710083008
Point_722,28.9929962158203,85.8310317993164
Point_723,-7.24570989608765,-70.337272644043
Point_724,-7.24999952316284,-67.4875411987305
Point_725,-7.25,-64.2225189208984
