lon,lat,MOM
97.75,5.24266910552979,0.1310333
97.75,14.3476552963257,0.3151872
97.75,14.5897264480591,0.3282464
97.75,14.8315315246582,0.3470134
97.75,15.0730667114258,0.3676235
98,-64.6539916992188,0.9770613
98,0.749978601932526,0.1010202
98,0.999949216842651,0.1082997
98,1.99959397315979,0.1218561
98,4.74456834793091,0.1619801
98,4.99366569519043,0.1488807
98,8.46899127960205,0.1360693
98,8.71618556976318,0.1448747
98,13.8627319335938,0.3694563
98,14.1053228378296,0.3846527
98.25,-64.6539916992188,0.9603779
98.25,-0.249999210238457,0.09425069
98.25,1.99959397315979,0.1363687
98.25,4.49538087844849,0.1464484
98.25,8.22163867950439,0.1419301
98.25,8.96321582794189,0.1834068
98.25,9.21007823944092,0.192489
98.25,9.45676803588867,0.2061785
98.25,10.1957597732544,0.2519363
98.25,10.4417161941528,0.3201212
98.25,10.687479019165,0.3351158
98.25,11.6684951782227,0.3085358
98.25,13.3767938613892,0.3639971
98.25,13.6198883056641,0.3867325
98.5,-64.6539916992188,0.9321018
98.5,-1.24990081787109,0.09299754
98.5,-0.999949216842651,0.09460561
98.5,-0.499993652105331,0.09873846
98.5,0,0.1204656
98.5,1.74972796440125,0.1603443
98.5,3.99675464630127,0.1889105
98.5,4.24610805511475,0.1564233
98.5,7.97413206100464,0.1518231
98.5,9.70328140258789,0.2726012
98.5,9.94961357116699,0.3125292
98.5,10.9330415725708,0.3608044
98.5,11.1784019470215,0.3553647
98.5,11.4235544204712,0.373634
98.5,11.9132204055786,0.4039419
98.5,12.1577243804932,0.3961855
98.5,12.4020042419434,0.3833164
98.5,12.6460552215576,0.3627207
98.5,12.8898735046387,0.3748171
98.5,13.1334543228149,0.4003806
98.75,-64.9731597900391,0.9656746
98.75,-64.8671951293945,0.9392681
98.75,-64.7608032226562,0.897248
98.75,-1.74972796440125,0.09314775
98.75,-1.49982869625092,0.09295179
98.75,-0.749978601932526,0.1038297
98.75,-0.249999210238457,0.1091664
98.75,0.999949216842651,0.1785088
98.75,1.24990081787109,0.1828571
98.75,1.49982869625092,0.2001487
98.75,3.99675464630127,0.1663233
98.75,7.97413206100464,0.1772817
99,-65.3928756713867,0.9772034
99,-65.2885665893555,0.9587483
99,-65.1838531494141,0.9364583
99,-65.0787124633789,0.909346
99,-1.99959397315979,0.0939244
99,-0.999949216842651,0.1189498
99,0.249999210238457,0.1783403
99,0.499993652105331,0.3336493
99,0.749978601932526,0.3514177
99,3.74732565879822,0.1579325
